iter	Passed	Remaining
617	3877	2396
618	3884	2391
619	3890	2384
620	3896	2377
621	3903	2372
622	3909	2365
623	3916	2359
624	3922	2353
625	3928	2347
626	3935	2341
627	3941	2334
628	3948	2329
629	3954	2322
630	3961	2316
631	3968	2310
632	3974	2304
633	3981	2298
634	3987	2291
635	3992	2284
636	3999	2278
637	4004	2272
638	4010	2265
639	4016	2259
640	4022	2252
641	4029	2246
642	4035	2240
643	4040	2233
644	4047	2227
645	4052	2220
646	4059	2214
647	4065	2208
648	4071	2202
649	4078	2196
650	4085	2190
651	4091	2183
652	4099	2178
653	4104	2171
654	4111	2165
655	4117	2158
656	4123	2152
657	4130	2146
658	4137	2140
659	4143	2134
660	4149	2128
661	4155	2121
662	4162	2115
663	4183	2116
664	4201	2116
665	4214	2113
666	4220	2107
667	4226	2100
668	4232	2094
669	4238	2087
670	4245	2081
671	4251	2074
672	4257	2068
673	4263	2062
674	4269	2055
675	4276	2049
676	4281	2042
677	4287	2036
678	4293	2029
679	4301	2024
680	4307	2017
681	4313	2011
682	4320	2005
683	4327	1999
684	4333	1992
685	4338	1986
686	4344	1979
687	4350	1972
688	4356	1966
689	4361	1959
690	4367	1952
691	4373	1946
692	4379	1939
693	4385	1933
694	4392	1927
695	4397	1920
696	4404	1914
697	4411	1908
698	4417	1902
699	4424	1896
700	4430	1889
701	4435	1882
702	4442	1876
703	4448	1870
704	4455	1864
705	4461	1858
706	4468	1851
707	4474	1845
708	4482	1839
709	4489	1833
710	4496	1827
711	4504	1822
712	4511	1815
713	4517	1809
714	4526	1804
715	4531	1797
716	4539	1791
717	4544	1785
718	4552	1779
719	4558	1772
720	4564	1766
721	4572	1760
722	4578	1754
723	4585	1748
724	4591	1741
725	4597	1735
726	4605	1729
727	4611	1723
728	4619	1717
729	4626	1711
730	4632	1704
731	4639	1698
732	4646	1692
733	4652	1686
734	4659	1679
735	4666	1673
736	4672	1667
737	4678	1661
738	4685	1654
739	4692	1648
740	4698	1642
741	4704	1635
742	4709	1629
743	4717	1623
744	4723	1616
745	4729	1610
746	4735	1603
747	4742	1597
748	4748	1591
749	4753	1584
750	4759	1578
751	4767	1572
752	4773	1565
753	4780	1559
754	4787	1553
755	4792	1546
756	4798	1540
757	4804	1534
758	4811	1527
759	4818	1521
760	4823	1514
761	4830	1508
762	4835	1502
763	4842	1495
764	4848	1489
765	4854	1482
766	4859	1476
767	4866	1469
768	4871	1463
769	4878	1457
770	4885	1450
771	4891	1444
772	4898	1438
773	4903	1431
774	4909	1425
775	4915	1418
776	4922	1412
777	4928	1406
778	4935	1400
779	4941	1393
780	4949	1387
781	4955	1381
782	4961	1375
783	4967	1368
784	4972	1361
785	4978	1355
786	4984	1348
787	4989	1342
788	4996	1336
789	5001	1329
790	5007	1323
791	5014	1316
792	5019	1310
793	5026	1303
794	5031	1297
795	5036	1290
796	5042	1284
797	5048	1277
798	5054	1271
799	5059	1264
800	5065	1258
801	5070	1251
802	5076	1245
803	5081	1238
804	5087	1232
805	5093	1225
806	5098	1219
807	5104	1212
808	5110	1206
809	5115	1199
810	5120	1193
811	5127	1187
812	5132	1180
813	5138	1174
814	5143	1167
815	5149	1161
816	5154	1154
817	5160	1148
818	5165	1141
819	5171	1135
820	5177	1128
821	5182	1122
822	5188	1115
823	5193	1109
824	5198	1102
825	5204	1096
826	5210	1089
827	5215	1083
828	5222	1077
829	5227	1070
830	5233	1064
831	5238	1057
832	5244	1051
833	5249	1044
834	5256	1038
835	5262	1032
836	5268	1025
837	5274	1019
838	5280	1013
839	5287	1007
840	5293	1000
841	5299	994
842	5305	988
843	5311	981
844	5318	975
845	5324	969
846	5329	962
847	5335	956
848	5341	949
849	5346	943
850	5352	937
851	5358	930
852	5363	924
853	5370	918
854	5375	911
855	5381	905
856	5387	898
857	5392	892
858	5398	886
859	5404	879
860	5410	873
861	5416	867
862	5422	860
863	5427	854
864	5434	848
865	5439	841
866	5445	835
867	5451	829
868	5457	822
869	5462	816
870	5468	809
871	5473	803
872	5479	797
873	5485	790
874	5490	784
875	5496	778
876	5501	771
877	5507	765
878	5513	758
879	5518	752
880	5524	746
881	5529	739
882	5535	733
883	5541	727
884	5547	720
885	5553	714
886	5558	708
887	5564	701
888	5570	695
889	5575	689
890	5581	682
891	5586	676
892	5592	670
893	5599	663
894	5605	657
895	5612	651
896	5618	645
897	5624	638
898	5632	632
899	5638	626
900	5645	620
901	5651	614
902	5658	607
903	5665	601
904	5670	595
905	5676	588
906	5682	582
907	5688	576
908	5694	570
909	5700	563
910	5706	557
911	5712	551
912	5717	544
913	5723	538
914	5729	532
915	5735	525
916	5741	519
917	5747	513
918	5752	507
919	5758	500
920	5763	494
921	5769	488
922	5775	481
923	5780	475
924	5786	469
925	5791	462
926	5797	456
927	5803	450
928	5808	443
929	5814	437
930	5819	431
931	5825	425
932	5831	418
933	5837	412
934	5843	406
935	5849	399
936	5854	393
937	5860	387
938	5866	381
939	5872	374
940	5878	368
941	5883	362
942	5890	356
943	5895	349
944	5901	343
945	5907	337
946	5913	330
947	5918	324
948	5924	318
949	5929	312
950	5935	305
951	5941	299
952	5947	293
953	5952	287
954	5958	280
955	5963	274
956	5969	268
957	5975	261
958	5980	255
959	5986	249
960	5991	243
961	5997	236
962	6003	230
963	6009	224
964	6014	218
965	6020	211
966	6025	205
967	6031	199
968	6037	193
969	6043	186
970	6049	180
971	6056	174
972	6062	168
973	6068	162
974	6074	155
975	6079	149
976	6085	143
977	6091	137
978	6096	130
979	6103	124
980	6108	118
981	6114	112
982	6121	105
983	6126	99
984	6132	93
985	6138	87
986	6144	80
987	6150	74
988	6155	68
989	6161	62
990	6168	56
991	6174	49
992	6180	43
993	6187	37
994	6194	31
995	6200	24
996	6206	18
997	6211	12
998	6217	6
999	6223	0
